chillinginLV, Fri Apr 24 04:56:08 +0000 2020, -115.223125, 36.232915, This sounds about right!SOROS &amp; Bill Gates own the Wuhan Bio-chemical facility &amp; America funds it for our own Dem… https://t.co/LdMEOzwfcl 
ThaliaxK, Fri Apr 24 04:58:27 +0000 2020, -73.709589, 45.605568, @dimixo I agree 😭❤️ 
grzesczuk_paul, Fri Apr 24 04:58:27 +0000 2020, -74.891760, 40.027676, @HoodlumRIP Trumplestiltskin cometh. 
DTCCriskON, Fri Apr 24 04:58:27 +0000 2020, -96.761753, 32.819858, Fry his corrupt ass. 🔥🔥🔥 
LAJuan310, Fri Apr 24 04:58:27 +0000 2020, -118.411907, 34.020789, MAKE SURE TO FOLLOW ME ON                  🍦 @Spotify 🍦https://t.co/1RpyuDa8sE 
DillonKek, Fri Apr 24 04:58:27 +0000 2020, -118.113076, 33.844650, 🥺🥺🥺 
DarrylCurtis_33, Fri Apr 24 04:58:27 +0000 2020, -76.620482, 39.284713, They should’ve beat the Lakers 😭 
allohhhh, Fri Apr 24 04:58:28 +0000 2020, -95.446486, 29.838495, I took a picture like this with some chicken &amp; I felt extremely aggressive 
KatieKristina18, Fri Apr 24 04:58:28 +0000 2020, -91.955517, 35.008576, @JoelrockstarA1 Work has been absolutely crazy! But today was an event day so we were slammed 😬😬 
BethByrdKC, Fri Apr 24 04:58:28 +0000 2020, -94.284444, 39.033054, Here's a quick reel of the photos taken at our performance at the Benton House of Blue Springs. #mimeforlife… https://t.co/gQFkoRYJNf 
SophieandDixie, Fri Apr 24 04:58:28 +0000 2020, -83.173867, 32.678207, @realDonaldTrump Where we were told injecting bleach might be a thing. 
JMB191322, Fri Apr 24 04:58:28 +0000 2020, -78.850053, 42.743035, @martybiron43 Hey Marty.  How long was the injury list during the Carolina series.  I know we were down D. But ther… https://t.co/MtwOvlxena 
maneater7455, Fri Apr 24 04:58:28 +0000 2020, -87.732013, 41.833585, @maxkonnorxxx Me till I saw you 🤤🤤🤤🤤🔥 
thgchoir, Fri Apr 24 04:58:28 +0000 2020, -79.980689, 40.431389, Stop bothering me, im too bust listening to this land is yoir landfill on @spotify till my battery dies ok byeeeeee… https://t.co/gHZqfZ3Rw7 
ITALIANN1NJA, Fri Apr 24 04:58:28 +0000 2020, -87.969819, 41.794403, Probably going by home soon to get my music gear. I miss it so much. I’m just trying to muster up the courage. 
Leeshar66990747, Fri Apr 24 04:58:28 +0000 2020, -120.583402, 44.145437, @OlgaBalashova9 This is what i mean . now do react with lustfull selfish, animal like, possesive , domanating give… https://t.co/NRFW9BGoJC 
notsire_, Fri Apr 24 04:58:28 +0000 2020, -119.306608, 37.269176, @justinsfilthy @maykelers https://t.co/uFaSvRw8b6 
SharodniS, Fri Apr 24 04:58:28 +0000 2020, -93.809434, 32.461107, &amp; i don’t like going to the palace at all lmaooo 
RuggerioAngela, Fri Apr 24 04:58:28 +0000 2020, -73.032294, 40.752959, @stillgray I hope they have their windows closed. Sheesh, that's terrible. 
meekocicero, Fri Apr 24 04:58:28 +0000 2020, -118.252320, 33.915714, @YESTRDY . . . YES , you 🥵💕 https://t.co/DcSUxHW7HH 
Tcash_6, Fri Apr 24 04:58:28 +0000 2020, -90.011008, 29.982601, Righteous 
KenKneeTran, Fri Apr 24 04:58:28 +0000 2020, -121.873730, 37.331159, So aptly named... 
TamaraLachelli, Fri Apr 24 04:58:28 +0000 2020, -89.922029, 35.133521, I just wanna know why YB put his momma in that damn song like that she messed it up 🙄 
xoabbs13, Fri Apr 24 04:58:28 +0000 2020, -91.084775, 41.418591, and also hearing the studio version of goodnight after hearing it live twice made my knees weak holy Fuck 
5277_665, Fri Apr 24 04:58:28 +0000 2020, -95.446486, 29.838495, @Pillio_ @MR_EXTRAEXTRA Need groceries bad pleasePayPal-19maddog007@gmail.com 
Bgivey, Fri Apr 24 04:58:28 +0000 2020, -124.044307, 46.497139, @SpeakerPelosi In case you missed it...Gross 
